NOME|RTTTL
#1|#1:d=4,o=6,b=180:16p,32g_5,8a5,32p,8a5,8a5,32d_,8e.5,16p,c5,a5,16a,16a5,32g_5,8a5,32p,8g5,a5,32a5,32a5,8p,8a5,32g_5,8a5,32p,16a.5,32p,32g_5,8a5,32p,8g5,8a5,8e5,16e.5,32p,16a.5,32p,32g_5,8a5,32p,8a5,8a5,8g5,8a5,8e5,32e5,32e5,8p,8e5,32g_5
#1Stunna|#1Stunna:d=4,o=6,b=90:2d,c,d_,2d,a_5,8c.,16a5,2g.5,8d_.5,16f5,1d5,2d,c,d_,2d,c,8a.5,16c,2g.5,8d_.5,16f5,1d5
'nOnsGel|'nOnsGel:d=4,o=5,b=112:8c6,8c6,8c6,16c6,8c.6,8c6,8a#,8g#,8g#,8g,8g,8f#,2g,8g#,8g#,8g#,16g#,8g#.,8g#,8g,8f,8f,8d#,8d#,8d,d#,8d#,8d#,8c#,8a#,2a#,8c#,8c#,8c,8g#,2g#,8g,8g#,a#,f,c6,b,2a#.,p,8c6,8c6,8c6,16c6,8c.6,8c6,8a#,8g#,8g#,8g,8g,8f#,2g,8g#,8g#,8g#,16g#,8g#.,8g#,8g,8f,8f,8d#,8d#,8d,d#,8d#,8d#,8c#,8a#,2a#,8c#,8c#,8c,8g#,2g#,8g,8g#,a#,c#6,c6,a#,2g#
'tQuero|'tQuero:d=16,o=5,b=63:8f.6,f,2f,8f,e,d,8d.,c,2c,8d,c,a#,4a,4f,4g,g,8f,e,1f
(Don't)G|(Don't)G:d=4,o=5,b=125:8c6,8c6,8c6,8c6,e6,p,8p,a#,8c6,2p,8p,8c6,8c6,8c6,f6,d#6,c6,8f6,8d#6,p,8a#,8c6,8p,8c,8c,8d#,2p,8p,8c,8c,8f,8p,8d#,8p,8c,8p,d#,8d,1p,8d#6,8d6,8c6,8d6,8e6,8e6,2p,8c6,d#6,8d6,2p,8p,8c6,8d#6,8c6,8c6,8a#,c6,8a#,8c6,2p,8p,8a#,8a#,8c6,1p,8a#,8a#,8a#,8a#,a#,8a#,c.6
(Dont)Gi|(Dont)Gi:d=8,o=6,b=125:c,c,c,c,4e,4p.,4a#5,c,2p,p,c,c,c,4f,4d#,4c,f,d#,4p,a#5,c,p,c5,c5,d#5,2p,p,c5,c5,f5,p,d#5,p,c5,p,4d#5,d5,1p.,d#,d,c,d,e,e,2p,c,4d#,d,2p,p,c,d#,c,c,a#5,4c,a#5,c,2p,p,a#5,a#5,c,1p,a#5,a#5,a#5,a#5,4a#5,a#5,4c.
(Karma)A|(Karma)A:d=4,o=6,b=100:16e5,32f5,32e5,8d_5,8e5,2c,8p,16d,8b5,8a5,16g5,2g5,8p,8e5,8d5,8c5,2f5,8p,16a5,8g_5,8f5,16e5,2e5,8p,8c,8b5,8g5,a5,a5,16g5,16a5,16g5,16a5,8g5,8f5,16e5,16g5,16f5,16e5,d5,8p,8d5,8b5,8d5,g.5,8f5,a5,8g5,8f5,e5
(Rap)Sup|(Rap)Sup:d=4,o=5,b=200:d,f,a,d,a#,d,a,f,d,f,a,a,a#,d,a,f,d,f,a,d,c6,d,a#,a,d,f,a,d,c6,c,a#,a,d,f,a,d,a#,d,a,f,d,f,a,d,c6,d,a#,a
(ReachFo|(ReachFo:d=4,o=6,b=140:g,g,g,8a,f,2d,8d,8d,f.,d.,8d,8d,f.,2d,p,g,g,g,8a,f,2d,8d,8d,f.,d.,8d,8d,f.,2d.,g,g,g,8a,f,2d,8d,8d,f.,d.,8d,8d,f.,2d,p,g,g,g,8a,f,2d,8d,8d,f.,d.,8d,8d,f.,2d.
(YouAre)|(YouAre):d=4,o=6,b=100:16e5,16p,8p,8d_,8c_,c_,8d_,c_,8b5,16g_5,16p,8b5,8a_5,16a_5,16a_5,16f_5,8b5,16b5,16e5,16p,8p,8d_,8c_,c_,8d_,8c_,16g_5,16p,8b5,16g_5,16p,8b5,8f_,16f_,16f_,16f_5,8a_5,b5,16p,e,8d_,8c_,8c_,8b5,8f_,16e,16e,16g_5,8d_,16c_,16f_5,8d_,16b5,16f_5,8b.5,16e5,16p,16e5,16p,16b5,16b5,16b5,16b5,8b5,16b5,8c_,8b.5,p,16f_5,8f_5,16d_,16p,8d_,16c_,16p,8b.5,8b5
